HUC12RNG,RiverBasin,PriorityTy
030101020801,Roanoke,Tier 1
030101020802,Roanoke,Tier 1
030101020803,,
030101020804,Roanoke,Tier 2
030101020805,,
030101020806,,
030101020901,,
030101020902,Roanoke,Tier 2
030101021001,,
030101021002,,
030101021003,,
030101021004,,
030101030102,Roanoke,Tier 1
030101030103,Roanoke,Tier 1
030101030104,Roanoke,Tier 1
030101030105,Roanoke,Tier 1
030101030106,Roanoke,Tier 1
030101030107,,
030101030108,,
030101030109,Roanoke,Tier 1
030101030201,,
030101030202,,
030101030203,,
030101030204,,1km River Buffer
030101030301,Roanoke,Tier 2
030101030302,Roanoke,Tier 1
030101030303,,
030101030304,Roanoke,1km River Buffer
030101030305,,1km River Buffer
030101030306,Roanoke,1km River Buffer
030101030402,,
030101030404,,
030101030407,,
030101030408,Roanoke,Tier 1
030101030409,Roanoke,Tier 1
030101030501,Roanoke,1km River Buffer
030101030502,Roanoke,1km River Buffer
030101030503,Roanoke,1km River Buffer
030101030504,Roanoke,1km River Buffer
030101030505,Roanoke,1km River Buffer
030101030802,,
030101030807,Roanoke,1km River Buffer
030101030901,Roanoke,1km River Buffer
030101030902,Roanoke,Tier 2
030101030903,Roanoke,1km River Buffer
030101030904,Roanoke,Tier 2
030101030905,Roanoke,Tier 1
030101030906,,
030101040102,,
030101040103,,
030101040104,,
030101040105,,
030101040106,,
030101040107,,
030101040108,,
030101040109,,
030101040201,Roanoke,Tier 2
030101040202,Roanoke,Tier 2
030101040203,Roanoke,Tier 2
030101040302,,
030101040303,,
030101040501,,
030101040502,,
030101040503,,
030101040504,,
030101040505,,
030101040506,,
030101040507,,
030101040601,,
030101040602,,
030101040603,,
030101040604,,
030101040605,,
030101040607,,
030101040701,Roanoke,Tier 2
030101040702,,
030101060204,,
030101060205,,
030101060301,,
030101060302,,
030101060303,,
030101060304,,
030101060305,,
030101060401,,
030101060402,,
030101060403,,
030101060404,,1km River Buffer
030101070101,Roanoke,1km River Buffer
030101070102,Roanoke,1km River Buffer
030101070103,Roanoke,1km River Buffer
030101070104,,1km River Buffer
030101070105,Roanoke,1km River Buffer
030101070201,,1km River Buffer
030101070202,,1km River Buffer
030101070203,Roanoke,1km River Buffer
030101070204,Roanoke,1km River Buffer
030101070205,Roanoke,1km River Buffer
030101070206,Roanoke,1km River Buffer
030101070301,Roanoke,1km River Buffer
030101070302,,1km River Buffer
030101070303,Roanoke,1km River Buffer
030101070304,,1km River Buffer
030101070305,Roanoke,1km River Buffer
030101070401,,
030101070402,,
030101070403,,
030101070404,,
030101070405,Roanoke,1km River Buffer
030101070501,,1km River Buffer
030101070502,Roanoke,1km River Buffer
030101070503,Roanoke,1km River Buffer
030101070504,,
030101070505,Roanoke,1km River Buffer
030101070506,,
030101070507,,
030101070508,Roanoke,1km River Buffer
030101070509,Roanoke,1km River Buffer
030101070601,Roanoke,1km River Buffer
030101070602,Roanoke,1km River Buffer
030101070603,Roanoke,1km River Buffer
030101070701,,
030101070702,,
030101070703,,
030101070704,,
030101070705,,
030101070706,,
030101070801,,
030101070802,,
030101070803,,1km River Buffer
030101070804,,
030101070805,,
030101070806,,
030101070807,,1km River Buffer
030101070901,,1km River Buffer
030101070902,,1km River Buffer
030101070903,Roanoke,1km River Buffer
030102011205,,
030102011206,,1km River Buffer
030102020505,,1km River Buffer
030102030103,,1km River Buffer
030102030201,,1km River Buffer
030102030202,Chowan,1km River Buffer
030102030203,Chowan,1km River Buffer
030102030204,,
030102030205,Chowan,1km River Buffer
030102030206,Chowan,1km River Buffer
030102030301,Chowan,Tier 2
030102030302,,
030102030303,,
030102030304,,
030102030305,,
030102030306,,
030102030401,,
030102030402,,
030102030403,,
030102030404,,
030102030405,Chowan,1km River Buffer
030102030501,,
030102030502,,
030102030503,,
030102030504,Chowan,1km River Buffer
030102030601,,
030102030602,,
030102030603,Chowan,Tier 1
030102030604,,
030102030605,,
030102030701,,
030102030702,,
030102030703,,
030102030704,,
030102030705,,
030102030706,,
030102040701,,
030102040704,,
030102040705,,
030102040706,,
030102040801,,
030102040802,,
030102040803,,1km River Buffer
030102040804,,
030102040805,,
030102040806,,
030102040807,,
030102040808,,1km River Buffer
030102040901,,
030102040902,Chowan,1km River Buffer
030102040904,Chowan,1km River Buffer
030102040905,Chowan,1km River Buffer
030102040906,Chowan,Tier 1
030102040907,Chowan,Tier 1
030102040908,Chowan,1km River Buffer
030102050101,,
030102050102,,
030102050103,,
030102050104,,1km River Buffer
030102050105,,
030102050106,,
030102050107,,
030102050108,,
030102050201,Pasquotank,1km River Buffer
030102050202,,1km River Buffer
030102050203,,1km River Buffer
030102050204,,1km River Buffer
030102050205,,
030102050206,,
030102050207,,
030102050208,,
030102050301,,
030102050302,,
030102050303,,
030102050304,,
030102050305,,
030102050401,,
030102050402,,
030102050403,,
030102050404,,
030102050405,,
030102050406,,
030102050501,,
030102050502,,
030102050503,,
030102050504,,
030102050605,,
030102050606,,
030102050701,,
030102050702,,
030102050703,,
030102050704,,
030102050705,,
030102050706,,
030102050707,,
030102050708,,
030102050709,,
030102050801,,
030102050802,,
030102050803,,
030102050804,,
030102050805,,
030102050806,,
030102050807,,
030102050808,,
030102050809,,
030102050901,,
030102050902,,
030102050903,,
030102050904,,
030102050905,,
030102050906,,
030102050907,,
030102051001,,
030102051002,,
030102051003,,
030102051102,,
030102051103,,
030102051104,,
030102051105,,
030102051106,,
030102051107,,
030102051108,,
030102051206,,
030102051207,,
030102051303,,
030102051304,,
030102051305,,
030102051306,,
030102051401,,
030102051402,,
030102051403,,
030102051404,,
030102051405,,
030102051406,,
030102051407,,
030102051501,,
030102051502,,
030102051503,,
030102051504,,
030102051505,,
030102051506,,
030102051507,,
030201010101,Tar - Pamlico,Tier 1
030201010102,Tar - Pamlico,Tier 1
030201010103,Tar - Pamlico,Tier 1
030201010104,Tar - Pamlico,Tier 2
030201010105,Tar - Pamlico,Tier 1
030201010106,Tar - Pamlico,Tier 1
030201010201,,
030201010202,Tar - Pamlico,Tier 1
030201010203,Tar - Pamlico,Tier 1
030201010204,Tar - Pamlico,Tier 1
030201010301,Tar - Pamlico,Tier 1
030201010302,,
030201010303,Tar - Pamlico,Tier 2
030201010304,Tar - Pamlico,Tier 2
030201010401,,
030201010402,,
030201010403,Tar - Pamlico,Tier 2
030201010404,Tar - Pamlico,Tier 1
