Ecoregion,Huc12
M,030101030108
M,030101030109
M,030101030201
M,030101030202
M,030401010101
M,030401010102
M,030401010103
M,030401010104
M,030401010105
M,030401010201
M,030401010202
M,030401010203
M,030401010204
M,030401010205
M,030401010206
M,030401010301
M,030401010303
M,030401010304
M,030401010305
M,030401010306
M,030401010307
M,030401010401
M,030401010403
M,030401010404
M,030401010405
M,030401010407
M,030401010501
M,030401010502
M,030401010504
M,030401010602
M,030401010604
M,030401010701
M,030401010702
M,030401010703
M,030401010904
M,030401011003
M,030401011004
M,030401011006
M,030401020101
M,030401020102
M,030401020104
M,030401020105
M,030401020106
M,030401020201
M,030401020202
M,030401020204
M,030501010101
M,030501010102
M,030501010103
M,030501010104
M,030501010105
M,030501010106
M,030501010201
M,030501010202
M,030501010301
M,030501010302
M,030501010303
M,030501010401
M,030501010402
M,030501010403
M,030501010501
M,030501010502
M,030501010503
M,030501010504
M,030501010505
M,030501010506
M,030501010601
M,030501010602
M,030501010603
M,030501010604
M,030501010606
M,030501010608
M,030501010701
M,030501010801
M,030501010802
M,030501010803
M,030501010804
M,030501010901
M,030501010902
M,030501010903
M,030501011001
M,030501011002
M,030501011003
M,030501020101
M,030501020102
M,030501020201
M,030501050101
M,030501050102
M,030501050103
M,030501050104
M,030501050201
M,030501050202
M,030501050204
M,030501050301
M,030501050302
M,030501050303
M,030501050304
M,030501050305
M,030501050306
M,030501050307
M,030501050401
M,030501050402
M,030501050403
M,030501050404
M,030501050405
M,030501050406
M,030501050504
M,030501050601
M,030501050602
M,030501050603
M,030501050604
M,030501051201
M,030601010101
M,030601010102
M,030601010103
M,030601010104
M,030601010202
M,030601020102
M,030601020202
M,030601020204
M,030601020701
M,050500010101
M,050500010102
M,050500010103
M,050500010104
M,050500010105
M,050500010106
M,050500010107
M,050500010108
M,050500010109
M,050500010201
M,050500010202
M,050500010203
M,050500010204
M,050500010205
M,050500010206
M,050500010207
M,050500010208
M,050500010209
M,050500010210
M,050500010301
M,050500010302
M,050500010305
M,050500010401
M,050500010403
M,050500010404
M,050500010405
M,050500010406
M,050500010407
M,050500010603
M,060101030201
M,060101030202
M,060101030301
M,060101030302
M,060101030303
M,060101030304
M,060101030305
M,060101030401
M,060101050101
M,060101050102
M,060101050104
M,060101050201
M,060101050202
M,060101050203
M,060101050204
M,060101050205
M,060101050206
M,060101050301
M,060101050302
M,060101050303
M,060101050401
M,060101050402
M,060101050403
M,060101050404
M,060101050501
M,060101050502
M,060101050503
M,060101050601
M,060101050602
M,060101050603
M,060101050604
M,060101050701
M,060101050702
M,060101050703
M,060101050704
M,060101050705
M,060101050801
M,060101050802
M,060101050803
M,060101050804
M,060101050805
M,060101050901
M,060101050902
M,060101050903
M,060101050904
M,060101050905
M,060101050906
M,060101050907
M,060101051001
M,060101051002
M,060101051003
M,060101051004
M,060101051101
M,060101051102
M,060101051103
M,060101051201
M,060101051202
M,060101051203
M,060101060101
M,060101060102
M,060101060103
M,060101060104
M,060101060105
M,060101060201
M,060101060202
M,060101060203
M,060101060204
M,060101060205
M,060101060301
M,060101060302
M,060101060303
M,060101060304
M,060101060305
M,060101080101
M,060101080102
M,060101080103
M,060101080104
M,060101080105
M,060101080106
M,060101080201
M,060101080202
M,060101080203
M,060101080204
M,060101080205
M,060101080301
M,060101080302
M,060101080303
M,060101080304
M,060101080305
M,060101080306
M,060101080601
M,060101080602
M,060101080603
M,060101080604
M,060101080606
M,060101080701
M,060102020101
M,060102020102
M,060102020103
M,060102020104
M,060102020105
M,060102020106
M,060102020202
M,060102020203
M,060102020301
M,060102020302
M,060102020303
M,060102020304
M,060102020305
M,060102020306
M,060102020401
M,060102020402
M,060102020403
M,060102020404
M,060102020405
M,060102020406
M,060102020407
M,060102020501
M,060102020502
M,060102020503
M,060102020504
M,060102020505
M,060102030101
M,060102030102
M,060102030103
M,060102030104
M,060102030105
M,060102030106
M,060102030107
M,060102030201
M,060102030202
M,060102030203
M,060102030204
M,060102030205
M,060102030206
M,060102030207
M,060102030301
M,060102030302
M,060102030303
M,060102030304
M,060102030401
M,060102030402
M,060102030403
M,060102030404
M,060102030405
M,060102040101
M,060102040102
M,060102040103
M,060102040104
M,060102040105
M,060102040106
M,060102040107
M,060102040303
M,060102040305
M,060102040401
M,060102040402
M,060102040403
M,060200020105
M,060200020201
M,060200020202
M,060200020203
M,060200020302
M,060200020303
M,060200020401
M,060200020402
M,060200020403
M,060200020404
M,060200020502
M,060200020603
M,060200020701
M,060200020702
M,060200020703
M,060200020704
M,060200020705
M,060200020811
M,060200020901
M,060200020902
M,060200020903
M,060200020904
M,060200020907
M,060200030201
M,060200030204
M,060200030208
C,030101060403
C,030101060404
C,030101070101
C,030101070102
C,030101070103
C,030101070104
C,030101070105
C,030101070201
C,030101070202
C,030101070203
C,030101070204
C,030101070205
C,030101070206
C,030101070301
C,030101070302
C,030101070303
C,030101070304
C,030101070305
C,030101070401
C,030101070402
C,030101070403
C,030101070404
C,030101070405
C,030101070501
C,030101070502
C,030101070503
C,030101070504
C,030101070505
C,030101070506
C,030101070507
C,030101070508
C,030101070509
C,030101070601
C,030101070602
C,030101070603
C,030101070701
C,030101070702
C,030101070703
C,030101070704
C,030101070705
C,030101070706
C,030101070801
C,030101070802
C,030101070803
C,030101070804
C,030101070805
C,030101070806
C,030101070807
C,030101070901
C,030101070902
C,030101070903
C,030102011205
C,030102011206
C,030102020505
C,030102030103
C,030102030201
C,030102030202
C,030102030203
C,030102030204
C,030102030205
C,030102030206
C,030102030301
C,030102030302
C,030102030303
C,030102030304
C,030102030305
C,030102030306
C,030102030401
C,030102030402
C,030102030403
C,030102030404
C,030102030405
C,030102030501
C,030102030502
C,030102030503
C,030102030504
C,030102030601
C,030102030602
C,030102030603
C,030102030604
C,030102030605
C,030102030701
C,030102030702
C,030102030703
C,030102030704
C,030102030705
C,030102030706
C,030102040704
C,030102040704
C,030102040705
C,030102040706
C,030102040801
C,030102040802
C,030102040803
C,030102040804
C,030102040805
C,030102040806
C,030102040807
C,030102040808
C,030102040901
C,030102040902
C,030102040904
C,030102040905
C,030102040906
C,030102040907
C,030102040908
C,030102050101
C,030102050102
C,030102050103
C,030102050104
C,030102050105
C,030102050106
C,030102050107
C,030102050108
C,030102050201
C,030102050202
C,030102050203
C,030102050204
C,030102050205
C,030102050206
C,030102050207
C,030102050208
C,030102050301
C,030102050302
C,030102050303
C,030102050304
C,030102050305
C,030102050401
C,030102050402
C,030102050403
C,030102050404
C,030102050405
C,030102050406
C,030102050501
C,030102050502
C,030102050503
C,030102050504
C,030102050605
C,030102050606
C,030102050701
C,030102050702
C,030102050703
C,030102050704
C,030102050705
C,030102050706
C,030102050707
C,030102050708
C,030102050709
C,030102050801
C,030102050802
C,030102050803
C,030102050804
C,030102050805
C,030102050806
C,030102050807
C,030102050808
C,030102050809
C,030102050901
C,030102050902
C,030102050903
C,030102050904
C,030102050905
C,030102050906
C,030102050907
C,030102051001
C,030102051002
C,030102051003
C,030102051102
C,030102051103
C,030102051104
C,030102051105
C,030102051106
C,030102051107
C,030102051108
C,030102051206
C,030102051207
C,030102051303
C,030102051304
C,030102051305
C,030102051306
C,030102051401
C,030102051402
C,030102051403
C,030102051404
C,030102051405
C,030102051406
C,030102051407
C,030102051501
C,030102051502
C,030102051503
C,030102051504
C,030102051505
C,030102051506
C,030102051507
C,030201010501
C,030201010502
C,030201010503
C,030201010504
C,030201010602
C,030201010603
C,030201010604
C,030201010605
C,030201010606
C,030201010607
C,030201010706
C,030201010801
C,030201010802
C,030201010803
C,030201010901
C,030201010902
C,030201010903
C,030201010904
C,030201020204
C,030201020206
C,030201020304
C,030201020401
C,030201020402
C,030201020403
C,030201020404
C,030201020405
C,030201020501
C,030201020502
C,030201020503
C,030201020504
C,030201020601
C,030201020602
C,030201020603
C,030201020604
C,030201020605
C,030201020606
C,030201030101
C,030201030102
C,030201030103
C,030201030104
C,030201030105
C,030201030106
C,030201030107
C,030201030201
C,030201030202
C,030201030203
C,030201030204
C,030201030301
C,030201030302
C,030201030303
C,030201030304
C,030201030305
C,030201030401
C,030201030402
C,030201030403
C,030201030404
C,030201030501
