KeyCode,Region,Type,CommunityKey,CommunityName,NSppGAP_All,NSppWRC_All,NSppGAP_SGCN,NSppWRC_SGCN
CA_4.2.10c,Coastal Plain,Aquatic,4.2.10c,Large River Systems - Warm,31,31,18,18
CA_4.2.11c,Coastal Plain,Aquatic,4.2.11c,Stream Swamps - Warm,36,36,28,28
CA_4.2.12,Coastal Plain,Aquatic,4.2.12,Natural Lakes,48,48,31,31
CA_4.2.13c,Coastal Plain,Aquatic,4.2.13c,Reservoirs & Impoundments - Warm,30,30,13,13
CA_4.2.14,Coastal Plain,Aquatic,4.2.14,Estuarine Aquatic Communities,34,34,26,26
CA_4.2.6a,Coastal Plain,Aquatic,4.2.6a,"Groundwater, Springs, Caves - Cold",2,2,0,0
CA_4.2.7c,Coastal Plain,Aquatic,4.2.7c,"Headwater Streams, Small Creeks - Warm",6,6,1,1
CA_4.2.8c,Coastal Plain,Aquatic,4.2.8c,"Small River Systems, Large Creeks - Warm",18,18,10,10
CA_4.2.9c,Coastal Plain,Aquatic,4.2.9c,Medium River Systems - Warm,11,11,4,4
CT_4.4.1,Coastal Plain,Terrestrial,4.4.1,Caves & Mines,2,2,2,2
CT_4.4.11,Coastal Plain,Terrestrial,4.4.11,"Mixed Hardwood Pine Forest, Managed Timberland",22,22,14,14
CT_4.4.13,Coastal Plain,Terrestrial,4.4.13,Dry Longleaf Pine Forests,32,33,26,27
CT_4.4.14u,Coastal Plain,Terrestrial,4.4.14u,Maritime Upland Forests,30,31,23,24
CT_4.4.15,Coastal Plain,Terrestrial,4.4.15,Maritime Grasslands,34,34,33,33
CT_4.4.16,Coastal Plain,Terrestrial,4.4.16,"Sand, Shell, and Wrack Line Beach Zones",36,36,30,30
CT_4.4.17h,Coastal Plain,Terrestrial,4.4.17h,Successional Communities - Herb,37,38,29,29
CT_4.4.17s,Coastal Plain,Terrestrial,4.4.17s,Successional Communities - Shrub,32,32,25,25
CT_4.4.17w,Coastal Plain,Terrestrial,4.4.17w,Successional Communities - Woody,16,16,11,11
CT_4.4.18,Coastal Plain,Terrestrial,4.4.18,"Sparsely Settled, Mixed Habitats",19,19,13,13
CT_4.4.8,Coastal Plain,Terrestrial,4.4.8,"Low Elevation Flatrocks, Cliffs & Rock Outcrops",2,2,2,2
CT_4.4.9,Coastal Plain,Terrestrial,4.4.9,Mesic Forests,31,31,21,21
CW_4.3.10,Coastal Plain,Wetland,4.3.10,Upland Seepages & Spray Cliffs,11,11,4,4
CW_4.3.11,Coastal Plain,Wetland,4.3.11,Wet Pine Savannas,33,33,26,26
CW_4.3.2,Coastal Plain,Wetland,4.3.2,Estuarine Wetlands,74,74,62,62
CW_4.3.3,Coastal Plain,Wetland,4.3.3,Blackwater Floodplains,41,41,29,29
CW_4.3.4,Coastal Plain,Wetland,4.3.4,Brownwater Floodplains,40,40,27,27
CW_4.3.6,Coastal Plain,Wetland,4.3.6,Freshwater Tidal Wetlands,40,40,27,27
CW_4.3.7,Coastal Plain,Wetland,4.3.7,Nonalluvial Mineral Wetlands,29,29,21,21
CW_4.3.8,Coastal Plain,Wetland,4.3.8,Pocosins,28,29,17,17
CW_4.3.9,Coastal Plain,Wetland,4.3.9,Upland Pools & Depressions,24,25,17,17
CW_4.4.14w,Coastal Plain,Wetland,4.4.14w,Maritime Wetland Forests,14,14,9,9
MA_4.2.13a,Mountains,Aquatic,4.2.13a,Reservoirs & Impoundments - Cold,8,8,5,5
MA_4.2.13b,Mountains,Aquatic,4.2.13b,Reservoirs & Impoundments - Cool,10,10,5,5
MA_4.2.13c,Mountains,Aquatic,4.2.13c,Reservoirs & Impoundments - Warm,9,9,4,4
