KeyCode,Region,Type,CommunityKey,CommunityName,HabFrst,HabFtWt,HabHbWt,HabOpen,HabShrb,Urban,Fsupp,DCLrds,SLRup,SLRlc,Triassic,WPC,Manu,Fert,TDNT,TDST,FHlth,NID,Bio,Met
"CA_4.2.10c","Coastal Plain","Aquatic","4.2.10c","Large River Systems - Warm",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"CA_4.2.11c","Coastal Plain","Aquatic","4.2.11c","Stream Swamps - Warm",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"CA_4.2.12","Coastal Plain","Aquatic","4.2.12","Natural Lakes",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"MA_4.2.13a","Mountains","Aquatic","4.2.13a","Reservoirs & Impoundments - Cold",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"MA_4.2.13b","Mountains","Aquatic","4.2.13b","Reservoirs & Impoundments - Cool",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"PA_4.2.13b","Piedmont","Aquatic","4.2.13b","Reservoirs & Impoundments - Cool",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"CA_4.2.13c","Coastal Plain","Aquatic","4.2.13c","Reservoirs & Impoundments - Warm",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"MA_4.2.13c","Mountains","Aquatic","4.2.13c","Reservoirs & Impoundments - Warm",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"PA_4.2.13c","Piedmont","Aquatic","4.2.13c","Reservoirs & Impoundments - Warm",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"SA_4.2.13c","Sandhills","Aquatic","4.2.13c","Reservoirs & Impoundments - Warm",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"CA_4.2.14","Coastal Plain","Aquatic","4.2.14","Estuarine Aquatic Communities",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"CA_4.2.6a","Coastal Plain","Aquatic","4.2.6a","Groundwater, Springs, Caves - Cold",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
"MA_4.2.6a","Mountains","Aquatic","4.2.6a","Groundwater, Springs, Caves - Cold",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"PA_4.2.6a","Piedmont","Aquatic","4.2.6a","Groundwater, Springs, Caves - Cold",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"SA_4.2.6a","Sandhills","Aquatic","4.2.6a","Groundwater, Springs, Caves - Cold",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"MA_4.2.7a","Mountains","Aquatic","4.2.7a","Headwater Streams, Small Creeks - Cold",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"MA_4.2.7b","Mountains","Aquatic","4.2.7b","Headwater Streams, Small Creeks - Cool",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
"PA_4.2.7b","Piedmont","Aquatic","4.2.7b","Headwater Streams, Small Creeks - Cool",1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
