HUC12RNG,NS_CA_4.2.10c,UR_CA_4.2.10c,NS_CA_4.2.11c,UR_CA_4.2.11c,NS_CA_4.2.12,UR_CA_4.2.12,NS_CA_4.2.13c,UR_CA_4.2.13c,NS_CA_4.2.14,UR_CA_4.2.14,NS_CA_4.2.6a,UR_CA_4.2.6a,NS_CA_4.2.7c,UR_CA_4.2.7c,NS_CA_4.2.8c,UR_CA_4.2.8c,NS_CA_4.2.9c,UR_CA_4.2.9c,NS_CT_4.4.1,UR_CT_4.4.1,NS_CT_4.4.11,UR_CT_4.4.11,NS_CT_4.4.13,UR_CT_4.4.13,NS_CT_4.4.14u,UR_CT_4.4.14u,NS_CT_4.4.15,UR_CT_4.4.15,NS_CT_4.4.16,UR_CT_4.4.16,NS_CT_4.4.17h,UR_CT_4.4.17h,NS_CT_4.4.17s,UR_CT_4.4.17s,NS_CT_4.4.17w,UR_CT_4.4.17w,NS_CT_4.4.18,UR_CT_4.4.18,NS_CT_4.4.8,UR_CT_4.4.8,NS_CT_4.4.9,UR_CT_4.4.9,NS_CW_4.3.10,UR_CW_4.3.10,NS_CW_4.3.11,UR_CW_4.3.11,NS_CW_4.3.2,UR_CW_4.3.2,NS_CW_4.3.3,UR_CW_4.3.3,NS_CW_4.3.4,UR_CW_4.3.4,NS_CW_4.3.6,UR_CW_4.3.6,NS_CW_4.3.7,UR_CW_4.3.7,NS_CW_4.3.8,UR_CW_4.3.8,NS_CW_4.3.9,UR_CW_4.3.9,NS_CW_4.4.14w,UR_CW_4.4.14w,NS_MA_4.2.13a,UR_MA_4.2.13a,NS_MA_4.2.13b,UR_MA_4.2.13b,NS_MA_4.2.13c,UR_MA_4.2.13c,NS_MA_4.2.6a,UR_MA_4.2.6a,NS_MA_4.2.7a,UR_MA_4.2.7a,NS_MA_4.2.7b,UR_MA_4.2.7b,NS_MA_4.2.7c,UR_MA_4.2.7c,NS_MA_4.2.8a,UR_MA_4.2.8a,NS_MA_4.2.8b,UR_MA_4.2.8b,NS_MA_4.2.8c,UR_MA_4.2.8c,NS_MA_4.2.9a,UR_MA_4.2.9a,NS_MA_4.2.9b,UR_MA_4.2.9b,NS_MA_4.2.9c,UR_MA_4.2.9c,NS_MT_4.4.1,UR_MT_4.4.1,NS_MT_4.4.10,UR_MT_4.4.10,NS_MT_4.4.11,UR_MT_4.4.11,NS_MT_4.4.12,UR_MT_4.4.12,NS_MT_4.4.17h,UR_MT_4.4.17h,NS_MT_4.4.17s,UR_MT_4.4.17s,NS_MT_4.4.17w,UR_MT_4.4.17w,NS_MT_4.4.18,UR_MT_4.4.18,NS_MT_4.4.2,UR_MT_4.4.2,NS_MT_4.4.3,UR_MT_4.4.3,NS_MT_4.4.4,UR_MT_4.4.4,NS_MT_4.4.5,UR_MT_4.4.5,NS_MT_4.4.6,UR_MT_4.4.6,NS_MT_4.4.7,UR_MT_4.4.7,NS_MT_4.4.8,UR_MT_4.4.8,NS_MW_4.3.1,UR_MW_4.3.1,NS_MW_4.3.10,UR_MW_4.3.10,NS_MW_4.3.5,UR_MW_4.3.5,NS_MW_4.3.9,UR_MW_4.3.9,NS_PA_4.2.13b,UR_PA_4.2.13b,NS_PA_4.2.13c,UR_PA_4.2.13c,NS_PA_4.2.6a,UR_PA_4.2.6a,NS_PA_4.2.7b,UR_PA_4.2.7b,NS_PA_4.2.7c,UR_PA_4.2.7c,NS_PA_4.2.8b,UR_PA_4.2.8b,NS_PA_4.2.8c,UR_PA_4.2.8c,NS_PA_4.2.9b,UR_PA_4.2.9b,NS_PA_4.2.9c,UR_PA_4.2.9c,NS_PT_4.4.1,UR_PT_4.4.1,NS_PT_4.4.10,UR_PT_4.4.10,NS_PT_4.4.11,UR_PT_4.4.11,NS_PT_4.4.13,UR_PT_4.4.13,NS_PT_4.4.17h,UR_PT_4.4.17h,NS_PT_4.4.17s,UR_PT_4.4.17s,NS_PT_4.4.17w,UR_PT_4.4.17w,NS_PT_4.4.18,UR_PT_4.4.18,NS_PT_4.4.5,UR_PT_4.4.5,NS_PT_4.4.8,UR_PT_4.4.8,NS_PT_4.4.9,UR_PT_4.4.9,NS_PW_4.3.10,UR_PW_4.3.10,NS_PW_4.3.5,UR_PW_4.3.5,NS_PW_4.3.9,UR_PW_4.3.9,NS_SA_4.2.13c,UR_SA_4.2.13c,NS_SA_4.2.6a,UR_SA_4.2.6a,NS_SA_4.2.7c,UR_SA_4.2.7c,NS_SA_4.2.8c,UR_SA_4.2.8c,NS_SA_4.2.9c,UR_SA_4.2.9c,NS_ST_4.4.1,UR_ST_4.4.1,NS_ST_4.4.11,UR_ST_4.4.11,NS_ST_4.4.13,UR_ST_4.4.13,NS_ST_4.4.17h,UR_ST_4.4.17h,NS_ST_4.4.17s,UR_ST_4.4.17s,NS_ST_4.4.17w,UR_ST_4.4.17w,NS_ST_4.4.18,UR_ST_4.4.18,NS_ST_4.4.9,UR_ST_4.4.9,NS_SW_4.3.10,UR_SW_4.3.10,NS_SW_4.3.11,UR_SW_4.3.11,NS_SW_4.3.4,UR_SW_4.3.4,NS_SW_4.3.5,UR_SW_4.3.5,NS_SW_4.3.7,UR_SW_4.3.7,NS_SW_4.3.8,UR_SW_4.3.8,NS_SW_4.3.9,UR_SW_4.3.9
030101020801,10,0.7282,11,0.3808,13,0.8129,10,0.6929,3,0.0625,1,0.0227,4,0.1790,11,0.9417,8,0.6749,2,0.1320,13,0.7431,19,1.0743,14,0.6860,5,0.2870,0,0.0000,15,0.6791,14,0.6248,5,0.2660,7,0.4074,1,0.0515,12,0.7295,3,0.1445,12,0.6049,11,0.4118,18,0.8534,17,0.8818,10,0.8029,12,0.7666,13,0.6597,6,0.6412,9,0.3633,2,0.1142,2,0.1142,2,0.1142,0,0.0000,2,0.2078,2,0.2078,2,0.2078,3,0.2190,3,0.2190,3,0.2190,5,0.2054,5,0.2054,4,0.1250,4,0.2773,12,0.6713,10,0.5164,12,0.7281,12,0.6447,7,0.3651,5,0.3087,4,0.2413,11,0.6583,10,0.5719,7,0.4015,1,0.0011,2,0.1320,2,0.1351,3,0.2054,3,0.1916,1,0.0271,8,0.5803,1,0.0271,12,0.8836,13,0.8868,1,0.0227,5,0.3898,7,0.4158,7,0.4099,9,0.4358,10,0.8054,11,0.8087,2,0.1320,8,0.5041,17,1.0625,11,0.6218,12,0.6516,10,0.4953,5,0.2645,4,0.2519,1,0.0011,2,0.1320,13,0.7116,4,0.1818,15,0.8448,6,0.1836,7,0.6659,1,0.0227,5,0.1801,8,0.2941,7,0.6659,1,0.0515,11,0.6555,13,0.6395,7,0.3799,7,0.3706,5,0.2660,5,0.2530,3,0.1771,1,0.0227,5,0.2056,6,0.3338,5,0.3446,6,0.3338,6,0.2962,3,0.4985
030101020802,11,1.0321,11,0.5702,14,1.1657,10,0.9727,4,0.1023,1,0.0295,4,0.2721,11,1.2684,8,0.9419,2,0.2050,13,1.1749,19,1.7131,14,1.0771,5,0.4420,0,0.0000,15,1.0089,14,0.9466,5,0.4028,7,0.6238,1,0.0773,11,1.1799,3,0.2253,12,0.9324,12,0.6307,17,1.3443,16,1.3955,10,1.1301,12,1.2303,13,1.0417,5,0.8971,9,0.5606,2,0.1713,2,0.1713,2,0.1713,0,0.0000,2,0.3342,2,0.3342,2,0.3342,3,0.3480,3,0.3480,3,0.3480,5,0.3128,5,0.3128,4,0.1850,4,0.4398,12,1.0350,10,0.8202,12,1.1418,12,0.9435,7,0.5591,5,0.5030,4,0.3565,11,1.0224,10,0.8972,7,0.6303,1,0.0078,2,0.2050,2,0.2160,3,0.3345,3,0.2683,1,0.0377,8,0.9219,1,0.0377,13,1.2749,14,1.2800,1,0.0295,5,0.6193,7,0.6538,7,0.6438,9,0.6784,10,1.1448,11,1.1498,2,0.2050,8,0.8113,17,1.6918,11,0.9950,12,0.9382,10,0.7485,5,0.4273,4,0.3813,1,0.0078,2,0.2050,12,1.1361,4,0.2722,14,1.3202,5,0.2750,7,0.9310,1,0.0295,5,0.2799,8,0.4494,7,0.9310,1,0.0773,11,1.0295,13,0.9925,7,0.5669,7,0.5543,5,0.4028,5,0.3892,3,0.2896,1,0.0295,5,0.3116,6,0.5115,5,0.5466,6,0.5277,6,0.4741,3,0.6746
030101020803,10,0.7921,11,0.4352,13,0.8952,10,0.7650,3,0.0752,0,0.0000,3,0.1644,9,0.7873,8,0.7327,2,0.1339,13,0.7729,19,1.1323,15,0.7231,5,0.3059,0,0.0000,15,0.7821,14,0.6942,5,0.2930,7,0.4355,1,0.0546,11,0.7264,2,0.1255,11,0.6289,11,0.4737,17,0.8886,16,0.9028,10,0.8965,12,0.7675,13,0.6508,4,0.6642,9,0.3681,2,0.1207,2,0.1207,2,0.1207,0,0.0000,2,0.2139,2,0.2139,2,0.2139,3,0.2275,3,0.2275,3,0.2275,5,0.2160,5,0.2160,4,0.1368,4,0.2833,12,0.6947,10,0.5499,12,0.7549,12,0.7147,7,0.3948,5,0.3252,4,0.2617,11,0.6553,10,0.5808,7,0.4086,1,0.0051,2,0.1339,2,0.1420,3,0.2129,3,0.1959,1,0.0266,8,0.5917,1,0.0266,12,0.9515,13,0.9567,0,0.0000,5,0.3999,6,0.4050,7,0.4237,8,0.4289,10,0.8662,11,0.8714,2,0.1339,8,0.5197,17,1.0971,11,0.6449,12,0.7240,10,0.5442,5,0.2843,4,0.2646,1,0.0051,2,0.1339,12,0.7239,3,0.1605,13,0.8580,4,0.1653,7,0.7214,0,0.0000,4,0.1695,7,0.2773,7,0.7214,1,0.0546,11,0.6764,13,0.6877,7,0.4315,7,0.4086,5,0.2930,5,0.2697,3,0.1754,0,0.0000,4,0.1960,5,0.3164,4,0.3261,5,0.3112,5,0.2649,3,0.5435
030101020804,10,0.7339,11,0.4195,13,0.8449,10,0.7201,3,0.0775,0,0.0000,3,0.1518,9,0.7237,8,0.6740,2,0.1282,13,0.7181,19,1.0388,15,0.6974,5,0.2730,0,0.0000,15,0.6663,14,0.6296,5,0.2549,7,0.3852,1,0.0497,12,0.6955,2,0.1169,11,0.5646,11,0.4375,18,0.8311,17,0.8520,10,0.8022,12,0.7200,13,0.6358,5,0.5911,9,0.3667,2,0.1184,2,0.1184,2,0.1184,0,0.0000,2,0.2008,2,0.2008,2,0.2008,3,0.2216,3,0.2216,3,0.2216,5,0.2242,5,0.2242,4,0.1457,4,0.2672,12,0.6584,10,0.5056,12,0.7012,12,0.6255,7,0.3525,5,0.2986,4,0.2278,11,0.6419,10,0.5580,7,0.3907,1,0.0086,2,0.1282,2,0.1250,3,0.1923,3,0.2002,1,0.0302,8,0.5543,1,0.0302,12,0.8885,13,0.8931,0,0.0000,5,0.3785,6,0.3831,7,0.4149,8,0.4195,10,0.8078,11,0.8124,2,0.1282,8,0.4823,17,1.0230,11,0.6096,12,0.6304,10,0.4780,5,0.2585,4,0.2402,1,0.0086,2,0.1282,13,0.6912,3,0.1583,14,0.7886,5,0.1685,7,0.6569,0,0.0000,4,0.1604,7,0.2844,7,0.6569,1,0.0497,11,0.6362,13,0.6265,7,0.3538,7,0.3527,5,0.2549,5,0.2488,3,0.1719,0,0.0000,4,0.1815,5,0.2985,4,0.3066,5,0.2945,5,0.2626,3,0.4843
030101020805,7,0.0148,8,0.0069,9,0.0165,6,0.0138,2,0.0010,0,0.0000,2,0.0037,7,0.0148,6,0.0138,2,0.0038,11,0.0178,17,0.0240,14,0.0192,5,0.0060,0,0.0000,13,0.0065,12,0.0107,5,0.0041,7,0.0082,1,0.0010,10,0.0205,2,0.0031,11,0.0115,8,0.0060,15,0.0192,15,0.0213,8,0.0129,11,0.0195,12,0.0198,4,0.0122,8,0.0113,2,0.0031,2,0.0031,2,0.0031,0,0.0000,2,0.0058,2,0.0058,2,0.0058,3,0.0063,3,0.0063,3,0.0063,4,0.0064,4,0.0064,3,0.0036,4,0.0078,10,0.0167,8,0.0100,11,0.0164,10,0.0070,5,0.0051,3,0.0057,4,0.0039,11,0.0215,10,0.0169,7,0.0112,0,0.0000,2,0.0038,1,0.0010,2,0.0031,3,0.0050,1,0.0009,7,0.0137,1,0.0009,10,0.0192,10,0.0192,0,0.0000,5,0.0107,5,0.0107,7,0.0117,7,0.0117,8,0.0175,8,0.0175,2,0.0038,7,0.0117,16,0.0264,10,0.0169,10,0.0082,9,0.0080,4,0.0057,4,0.0055,0,0.0000,2,0.0038,11,0.0185,3,0.0047,12,0.0182,3,0.0047,5,0.0133,0,0.0000,2,0.0037,5,0.0082,5,0.0133,1,0.0010,11,0.0177,12,0.0134,7,0.0033,7,0.0052,5,0.0041,4,0.0055,3,0.0056,0,0.0000,4,0.0036,5,0.0087,4,0.0085,5,0.0088,4,0.0091,2,0.0090
030101020806,10,0.2189,11,0.1234,13,0.2528,10,0.2128,3,0.0245,0,0.0000,3,0.0458,9,0.2157,8,0.1997,2,0.0425,12,0.2098,19,0.3117,15,0.2313,5,0.0846,0,0.0000,14,0.1895,13,0.1882,5,0.0779,7,0.1218,1,0.0159,12,0.2081,2,0.0384,11,0.1795,11,0.1270,18,0.2434,17,0.2528,10,0.2293,12,0.2112,13,0.2130,5,0.1759,9,0.1247,2,0.0379,2,0.0379,2,0.0379,0,0.0000,2,0.0650,2,0.0650,2,0.0650,3,0.0721,3,0.0721,3,0.0721,5,0.0738,5,0.0738,4,0.0472,4,0.0876,12,0.1978,10,0.1406,12,0.2032,11,0.1635,6,0.0850,4,0.0702,4,0.0712,11,0.2191,10,0.1859,7,0.1297,1,0.0027,2,0.0425,2,0.0160,3,0.0384,3,0.0644,1,0.0101,8,0.1572,1,0.0101,12,0.2726,13,0.2730,0,0.0000,5,0.1221,6,0.1225,7,0.1346,8,0.1349,10,0.2451,11,0.2455,2,0.0425,8,0.1352,17,0.3098,11,0.2007,11,0.1859,9,0.1448,4,0.0791,4,0.0776,1,0.0027,2,0.0425,13,0.2059,3,0.0526,14,0.2297,5,0.0558,7,0.1937,0,0.0000,4,0.0485,7,0.0917,7,0.1937,1,0.0159,11,0.2086,13,0.2010,7,0.1034,7,0.1079,5,0.0779,5,0.0803,3,0.0577,0,0.0000,4,0.0596,5,0.0992,4,0.0996,5,0.0968,5,0.0882,3,0.1408
030101020901,11,0.6456,12,0.3307,14,0.7234,10,0.6099,4,0.0626,1,0.0380,4,0.1740,11,0.6713,8,0.5896,2,0.1216,13,0.6580,20,0.9391,15,0.6312,6,0.2360,0,0.0000,16,0.5148,15,0.5216,5,0.2185,7,0.3366,1,0.0433,12,0.7147,4,0.1530,13,0.5324,13,0.3315,20,0.8183,19,0.8454,11,0.6563,13,0.6968,14,0.6360,7,0.6226,9,0.3612,2,0.1044,2,0.1044,2,0.1044,0,0.0000,2,0.1805,2,0.1805,2,0.1805,3,0.1954,3,0.1954,3,0.1954,5,0.1966,5,0.1966,4,0.1183,4,0.2474,12,0.6272,10,0.4499,12,0.6462,12,0.5025,7,0.3071,5,0.2632,4,0.1949,11,0.6337,10,0.5258,7,0.3643,1,0.0081,2,0.1216,3,0.1101,4,0.1711,3,0.1704,1,0.0286,9,0.5290,1,0.0286,13,0.7891,14,0.7927,1,0.0380,5,0.3449,7,0.3866,7,0.3711,9,0.4128,10,0.7095,11,0.7131,2,0.1216,8,0.4410,17,0.9398,11,0.5630,13,0.5095,11,0.4148,5,0.2191,4,0.2169,1,0.0081,2,0.1216,13,0.6896,4,0.1882,16,0.8072,6,0.2349,7,0.5777,1,0.0380,5,0.1821,8,0.2972,7,0.5777,1,0.0433,11,0.5940,14,0.5592,8,0.2865,8,0.3074,5,0.2185,5,0.2251,3,0.1653,1,0.0380,6,0.2032,7,0.3357,5,0.3275,6,0.3201,6,0.3020,3,0.4269
030101020902,11,1.5169,12,0.8124,14,1.7025,10,1.4402,4,0.1566,1,0.0846,4,0.3795,11,2.0317,8,1.3886,2,0.2431,13,1.3743,19,2.0162,15,1.3456,6,0.5443,0,0.0000,15,1.3655,14,1.2348,5,0.5075,7,0.7704,1,0.0972,12,1.4371,4,0.3316,12,1.1913,13,0.8539,20,1.8487,19,1.8704,11,1.6549,13,1.4762,14,1.3021,7,1.4668,9,0.7158,2,0.2277,2,0.2277,2,0.2277,0,0.0000,2,0.3825,2,0.3825,2,0.3825,3,0.4174,3,0.4174,3,0.4174,5,0.4074,5,0.4074,4,0.2615,4,0.5075,12,1.2652,10,0.9845,12,1.3611,12,1.2847,7,0.6976,5,0.5778,4,0.4627,11,1.2103,10,1.0604,7,0.7502,1,0.0259,2,0.2431,3,0.2457,4,0.3723,3,0.4009,1,0.0658,9,1.0988,1,0.0658,13,1.8132,14,1.8215,1,0.0846,5,0.7195,7,0.8124,7,0.7812,9,0.8740,10,1.6296,11,1.6379,2,0.2431,8,0.9186,17,1.9657,11,1.1663,12,1.3108,10,0.9623,5,0.5064,4,0.4762,1,0.0259,2,0.2431,13,1.4394,4,0.3935,16,1.7681,6,0.5100,7,1.3610,1,0.0846,5,0.4054,8,0.6109,7,1.3610,1,0.0972,11,1.2121,13,1.2361,7,0.7432,7,0.7128,5,0.5075,5,0.5021,3,0.3238,1,0.0846,5,0.4416,7,0.6925,5,0.6773,6,0.6563,6,0.5802,3,1.0311
030101021001,11,0.8676,11,0.4361,14,0.9960,10,0.8629,4,0.1162,1,0.0154,4,0.1317,11,0.9483,8,0.7745,2,0.1000,13,0.5869,20,0.8340,14,0.5233,6,0.3127,0,0.0000,16,0.7558,15,0.6623,5,0.2405,7,0.3305,1,0.0442,12,0.5043,3,0.0974,13,0.5319,13,0.5854,18,0.6900,17,0.6749,11,1.0472,12,0.4865,13,0.4339,6,0.7467,9,0.2701,2,0.0945,2,0.0945,2,0.0945,0,0.0000,2,0.1433,2,0.1433,2,0.1433,3,0.1605,3,0.1605,3,0.1605,5,0.1974,5,0.1974,4,0.1416,4,0.1931,12,0.5519,10,0.3967,12,0.5375,12,0.6101,7,0.3420,5,0.2466,4,0.2164,11,0.4778,10,0.3944,7,0.2782,1,0.0039,2,0.1000,3,0.1813,4,0.2191,3,0.1308,1,0.0126,8,0.3833,1,0.0126,13,0.9889,14,0.9948,1,0.0154,5,0.2764,7,0.2977,7,0.3113,9,0.3327,10,0.8978,11,0.9038,2,0.1000,8,0.3604,17,0.7614,11,0.4630,13,0.6543,11,0.5025,5,0.2229,4,0.2093,1,0.0039,2,0.1000,13,0.5451,4,0.1280,15,0.6590,6,0.2126,7,0.7566,1,0.0154,5,0.1355,8,0.2320,7,0.7566,1,0.0442,11,0.4985,14,0.5705,8,0.3820,8,0.3656,5,0.2405,5,0.2131,3,0.1123,1,0.0154,6,0.1904,6,0.2306,5,0.2190,6,0.2086,6,0.1698,3,0.6231
030101021002,11,1.7097,12,0.9052,14,1.9767,10,1.6651,4,0.2646,1,0.0493,4,0.3204,11,1.9299,8,1.4975,2,0.2454,13,1.4045,20,2.0501,14,1.3075,6,0.6676,0,0.0000,16,1.4914,15,1.3758,5,0.5156,7,0.7513,1,0.1004,12,1.3207,4,0.2738,13,1.2528,13,1.1727,19,1.6873,18,1.6956,11,1.9475,12,1.2742,13,1.1727,7,1.4656,9,0.6866,2,0.2076,2,0.2076,2,0.2076,0,0.0000,2,0.3572,2,0.3572,2,0.3572,3,0.3919,3,0.3919,3,0.3919,5,0.4597,5,0.4597,4,0.3146,4,0.4833,12,1.3462,10,0.9666,12,1.2988,12,1.2816,7,0.7406,5,0.5794,4,0.4735,11,1.2156,10,1.0107,7,0.7131,1,0.0108,2,0.2454,3,0.3875,4,0.4968,3,0.3239,1,0.0399,9,0.9818,1,0.0399,13,2.0349,14,2.0408,1,0.0493,5,0.6948,7,0.7501,7,0.7722,9,0.8274,10,1.8019,11,1.8079,2,0.2454,8,0.9135,17,1.8890,11,1.1609,13,1.3556,11,1.0740,5,0.5060,4,0.4884,1,0.0108,2,0.2454,13,1.3809,4,0.3346,16,1.5969,6,0.5067,7,1.4555,1,0.0493,5,0.3312,8,0.5882,7,1.4555,1,0.1004,11,1.2098,14,1.3359,8,0.7856,8,0.7834,5,0.5156,5,0.4992,3,0.3084,1,0.0493,6,0.4705,7,0.6072,5,0.5725,6,0.5571,6,0.4892,3,1.1497
