HUC12RNG,NS_CA_4.2.10c,UR_CA_4.2.10c,NS_CA_4.2.11c,UR_CA_4.2.11c,NS_CA_4.2.12,UR_CA_4.2.12,NS_CA_4.2.13c,UR_CA_4.2.13c,NS_CA_4.2.14,UR_CA_4.2.14,NS_CA_4.2.7c,UR_CA_4.2.7c,NS_CA_4.2.8c,UR_CA_4.2.8c,NS_CA_4.2.9c,UR_CA_4.2.9c,NS_CT_4.4.1,UR_CT_4.4.1,NS_CT_4.4.11,UR_CT_4.4.11,NS_CT_4.4.13,UR_CT_4.4.13,NS_CT_4.4.14u,UR_CT_4.4.14u,NS_CT_4.4.15,UR_CT_4.4.15,NS_CT_4.4.16,UR_CT_4.4.16,NS_CT_4.4.17h,UR_CT_4.4.17h,NS_CT_4.4.17s,UR_CT_4.4.17s,NS_CT_4.4.17w,UR_CT_4.4.17w,NS_CT_4.4.18,UR_CT_4.4.18,NS_CT_4.4.8,UR_CT_4.4.8,NS_CT_4.4.9,UR_CT_4.4.9,NS_CW_4.3.10,UR_CW_4.3.10,NS_CW_4.3.11,UR_CW_4.3.11,NS_CW_4.3.2,UR_CW_4.3.2,NS_CW_4.3.3,UR_CW_4.3.3,NS_CW_4.3.4,UR_CW_4.3.4,NS_CW_4.3.6,UR_CW_4.3.6,NS_CW_4.3.7,UR_CW_4.3.7,NS_CW_4.3.8,UR_CW_4.3.8,NS_CW_4.3.9,UR_CW_4.3.9,NS_CW_4.4.14w,UR_CW_4.4.14w,NS_MA_4.2.13a,UR_MA_4.2.13a,NS_MA_4.2.13b,UR_MA_4.2.13b,NS_MA_4.2.13c,UR_MA_4.2.13c,NS_MA_4.2.6a,UR_MA_4.2.6a,NS_MA_4.2.7a,UR_MA_4.2.7a,NS_MA_4.2.7b,UR_MA_4.2.7b,NS_MA_4.2.7c,UR_MA_4.2.7c,NS_MA_4.2.8a,UR_MA_4.2.8a,NS_MA_4.2.8b,UR_MA_4.2.8b,NS_MA_4.2.8c,UR_MA_4.2.8c,NS_MA_4.2.9a,UR_MA_4.2.9a,NS_MA_4.2.9b,UR_MA_4.2.9b,NS_MA_4.2.9c,UR_MA_4.2.9c,NS_MT_4.4.1,UR_MT_4.4.1,NS_MT_4.4.10,UR_MT_4.4.10,NS_MT_4.4.11,UR_MT_4.4.11,NS_MT_4.4.12,UR_MT_4.4.12,NS_MT_4.4.17h,UR_MT_4.4.17h,NS_MT_4.4.17s,UR_MT_4.4.17s,NS_MT_4.4.17w,UR_MT_4.4.17w,NS_MT_4.4.18,UR_MT_4.4.18,NS_MT_4.4.2,UR_MT_4.4.2,NS_MT_4.4.3,UR_MT_4.4.3,NS_MT_4.4.4,UR_MT_4.4.4,NS_MT_4.4.5,UR_MT_4.4.5,NS_MT_4.4.6,UR_MT_4.4.6,NS_MT_4.4.7,UR_MT_4.4.7,NS_MT_4.4.8,UR_MT_4.4.8,NS_MW_4.3.1,UR_MW_4.3.1,NS_MW_4.3.10,UR_MW_4.3.10,NS_MW_4.3.5,UR_MW_4.3.5,NS_MW_4.3.9,UR_MW_4.3.9,NS_PA_4.2.13b,UR_PA_4.2.13b,NS_PA_4.2.13c,UR_PA_4.2.13c,NS_PA_4.2.7b,UR_PA_4.2.7b,NS_PA_4.2.7c,UR_PA_4.2.7c,NS_PA_4.2.8b,UR_PA_4.2.8b,NS_PA_4.2.8c,UR_PA_4.2.8c,NS_PA_4.2.9b,UR_PA_4.2.9b,NS_PA_4.2.9c,UR_PA_4.2.9c,NS_PT_4.4.1,UR_PT_4.4.1,NS_PT_4.4.10,UR_PT_4.4.10,NS_PT_4.4.11,UR_PT_4.4.11,NS_PT_4.4.13,UR_PT_4.4.13,NS_PT_4.4.17h,UR_PT_4.4.17h,NS_PT_4.4.17s,UR_PT_4.4.17s,NS_PT_4.4.17w,UR_PT_4.4.17w,NS_PT_4.4.18,UR_PT_4.4.18,NS_PT_4.4.5,UR_PT_4.4.5,NS_PT_4.4.8,UR_PT_4.4.8,NS_PT_4.4.9,UR_PT_4.4.9,NS_PW_4.3.10,UR_PW_4.3.10,NS_PW_4.3.5,UR_PW_4.3.5,NS_PW_4.3.9,UR_PW_4.3.9,NS_SA_4.2.13c,UR_SA_4.2.13c,NS_SA_4.2.7c,UR_SA_4.2.7c,NS_SA_4.2.8c,UR_SA_4.2.8c,NS_SA_4.2.9c,UR_SA_4.2.9c,NS_ST_4.4.1,UR_ST_4.4.1,NS_ST_4.4.11,UR_ST_4.4.11,NS_ST_4.4.13,UR_ST_4.4.13,NS_ST_4.4.17h,UR_ST_4.4.17h,NS_ST_4.4.17s,UR_ST_4.4.17s,NS_ST_4.4.17w,UR_ST_4.4.17w,NS_ST_4.4.18,UR_ST_4.4.18,NS_ST_4.4.9,UR_ST_4.4.9,NS_SW_4.3.11,UR_SW_4.3.11,NS_SW_4.3.4,UR_SW_4.3.4,NS_SW_4.3.5,UR_SW_4.3.5,NS_SW_4.3.7,UR_SW_4.3.7,NS_SW_4.3.8,UR_SW_4.3.8,NS_SW_4.3.9,UR_SW_4.3.9
030101020801,4,0.1123,8,0.2636,7,0.1967,4,0.0768,2,0.0607,1,0.0500,5,0.3048,3,0.0607,2,0.1320,10,0.5863,15,0.8468,11,0.5417,6,0.3288,0,0.0000,13,0.5786,13,0.6181,5,0.2679,6,0.3417,1,0.0515,10,0.5525,2,0.1217,10,0.5114,9,0.3485,14,0.6213,12,0.5791,7,0.2644,10,0.6213,9,0.4566,3,0.1218,7,0.2897,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1047,1,0.1047,1,0.1047,1,0.1047,1,0.1047,1,0.1047,3,0.0912,3,0.0912,2,0.0107,4,0.2773,10,0.5345,6,0.2738,10,0.5907,10,0.5023,8,0.4193,5,0.2765,4,0.2279,5,0.2759,5,0.2753,4,0.1591,1,0.0011,2,0.1320,2,0.1352,3,0.2053,2,0.1075,1,0.0271,7,0.3912,1,0.0271,7,0.2706,7,0.2706,5,1.4507,5,1.4507,5,1.4507,5,1.4507,5,0.1927,5,0.1927,2,0.1320,3,0.1905,13,1.9130,7,0.3583,9,0.4564,11,1.6613,5,1.3439,4,1.3500,1,0.0011,2,0.1320,9,1.5619,4,1.3231,13,1.7517,5,1.3231,1,0.0500,2,0.0511,2,0.1433,1,0.0500,1,0.0515,8,0.4784,10,0.4623,7,0.3668,7,0.3726,5,0.2679,4,0.1872,0,0.0000,3,0.1122,4,0.1557,2,0.1485,4,0.1885,1,0.0933,0,0.0000
030101020802,5,0.1812,8,0.3938,8,0.3147,4,0.1217,3,0.0994,1,0.0801,5,0.3907,3,0.0939,2,0.2051,10,0.9309,15,1.3464,11,0.8439,6,0.5091,0,0.0000,13,0.8640,13,0.9287,5,0.3959,6,0.5223,1,0.0773,8,0.8904,2,0.1958,10,0.7800,10,0.5355,12,0.9997,10,0.9288,7,0.3990,9,0.9970,8,0.7174,2,0.1958,7,0.4497,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1768,1,0.1768,1,0.1768,1,0.1768,1,0.1768,1,0.1768,3,0.1416,3,0.1416,2,0.0138,4,0.4398,10,0.8127,6,0.4322,10,0.9175,10,0.7552,8,0.6338,5,0.4322,4,0.3365,5,0.4017,5,0.4238,3,0.2427,1,0.0078,2,0.2051,2,0.2159,3,0.3345,2,0.1655,1,0.0377,6,0.6187,1,0.0377,8,0.4290,8,0.4290,5,2.3453,5,2.3453,5,2.3453,5,2.3453,5,0.2989,5,0.2989,2,0.2051,3,0.2993,13,3.0632,7,0.5594,9,0.6784,11,2.6248,5,2.1582,4,2.1633,1,0.0078,2,0.2051,8,2.5078,4,2.1261,11,2.8056,4,2.1261,1,0.0801,2,0.0879,2,0.2299,1,0.0801,1,0.0773,8,0.7397,10,0.7022,7,0.5467,7,0.5472,5,0.3959,4,0.2878,0,0.0000,3,0.1596,3,0.2429,2,0.2372,3,0.2943,1,0.1498,0,0.0000
030101020803,4,0.1226,8,0.3092,7,0.2257,4,0.0956,2,0.0704,1,0.0519,4,0.1226,3,0.0680,2,0.1339,10,0.6146,15,0.9046,12,0.5864,6,0.3549,0,0.0000,13,0.6647,13,0.6938,5,0.3030,6,0.3676,1,0.0546,8,0.5509,2,0.1255,10,0.5597,9,0.4015,13,0.6657,11,0.6105,7,0.3076,10,0.6450,9,0.4704,2,0.1255,7,0.3009,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1067,1,0.1067,1,0.1067,1,0.1067,1,0.1067,1,0.1067,3,0.0953,3,0.0953,2,0.0161,4,0.2832,10,0.5555,6,0.3019,10,0.6127,10,0.5573,8,0.4577,5,0.3010,4,0.2468,5,0.2745,5,0.2796,3,0.1605,1,0.0051,2,0.1339,2,0.1420,3,0.2128,2,0.1058,1,0.0266,6,0.3974,1,0.0266,7,0.2873,7,0.2873,5,1.4993,5,1.4993,5,1.4993,5,1.4993,5,0.2019,5,0.2019,2,0.1339,3,0.2049,13,1.9891,7,0.3825,9,0.5042,11,1.7611,5,1.4140,4,1.4036,1,0.0051,2,0.1339,8,1.6159,4,1.3673,11,1.8180,4,1.3673,1,0.0519,2,0.0571,2,0.1363,1,0.0519,1,0.0546,8,0.5010,10,0.5126,7,0.4165,7,0.4187,5,0.3030,4,0.2019,0,0.0000,3,0.1267,3,0.1564,2,0.1496,3,0.1889,1,0.0844,0,0.0000
030101020804,5,0.1265,8,0.2965,8,0.2375,4,0.1127,3,0.0673,1,0.0496,5,0.1266,3,0.0768,2,0.1281,10,0.5670,15,0.8194,12,0.5499,6,0.3131,0,0.0000,13,0.5751,13,0.6145,5,0.2552,6,0.3244,1,0.0497,8,0.5234,2,0.1169,10,0.4963,10,0.3756,13,0.6245,11,0.5768,7,0.2891,10,0.6003,9,0.4592,2,0.1169,7,0.2879,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1032,1,0.1032,1,0.1032,1,0.1032,1,0.1032,1,0.1032,3,0.1057,3,0.1057,2,0.0273,4,0.2671,10,0.5280,6,0.2733,10,0.5693,10,0.4816,8,0.4037,5,0.2672,4,0.2180,5,0.2717,5,0.2731,3,0.1583,1,0.0086,2,0.1281,2,0.1251,3,0.1923,2,0.1086,1,0.0302,6,0.3741,1,0.0302,8,0.2857,8,0.2857,5,1.4219,5,1.4219,5,1.4219,5,1.4219,5,0.2049,5,0.2049,2,0.1281,3,0.1802,13,1.8617,7,0.3551,9,0.4393,11,1.6194,5,1.3172,4,1.3204,1,0.0086,2,0.1281,8,1.5300,4,1.2993,11,1.7069,4,1.2993,1,0.0496,2,0.0582,2,0.1356,1,0.0496,1,0.0497,8,0.4642,10,0.4549,7,0.3442,7,0.3531,5,0.2552,4,0.1879,0,0.0000,3,0.1130,3,0.1500,2,0.1404,3,0.1749,1,0.0860,0,0.0000
030101020805,3,0.0026,6,0.0037,5,0.0042,2,0.0016,2,0.0010,1,0.0011,3,0.0026,2,0.0016,2,0.0038,9,0.0131,14,0.0172,11,0.0133,6,0.0062,0,0.0000,11,0.0063,11,0.0091,5,0.0030,6,0.0069,1,0.0010,8,0.0149,2,0.0031,10,0.0093,7,0.0052,12,0.0141,11,0.0141,5,0.0037,10,0.0157,9,0.0142,2,0.0031,6,0.0076,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0032,1,0.0032,1,0.0032,1,0.0032,1,0.0032,1,0.0032,2,0.0032,2,0.0032,1,0.0004,4,0.0078,9,0.0129,5,0.0035,10,0.0130,9,0.0057,7,0.0056,4,0.0036,4,0.0042,5,0.0096,5,0.0085,3,0.0047,0,0.0000,2,0.0038,2,0.0010,3,0.0032,2,0.0037,1,0.0009,6,0.0085,1,0.0009,6,0.0070,6,0.0070,5,0.0378,5,0.0378,5,0.0378,5,0.0378,4,0.0053,4,0.0053,2,0.0038,3,0.0023,13,0.0468,6,0.0087,8,0.0068,10,0.0366,4,0.0317,4,0.0340,0,0.0000,2,0.0038,8,0.0388,4,0.0344,11,0.0424,4,0.0344,1,0.0011,1,0.0011,2,0.0046,1,0.0011,1,0.0010,8,0.0121,9,0.0078,7,0.0036,7,0.0041,5,0.0030,3,0.0042,0,0.0000,3,0.0015,3,0.0045,2,0.0038,3,0.0050,1,0.0035,0,0.0000
030101020806,4,0.0397,8,0.0848,7,0.0734,4,0.0335,2,0.0212,1,0.0146,4,0.0397,3,0.0238,2,0.0424,9,0.1592,15,0.2384,12,0.1805,6,0.0968,0,0.0000,12,0.1642,12,0.1802,5,0.0755,6,0.1015,1,0.0159,9,0.1502,2,0.0383,10,0.1568,9,0.1074,14,0.1779,12,0.1648,7,0.0807,10,0.1710,9,0.1548,3,0.0383,7,0.0966,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0341,1,0.0341,1,0.0341,1,0.0341,1,0.0341,1,0.0341,3,0.0357,3,0.0357,2,0.0092,4,0.0875,10,0.1550,6,0.0634,10,0.1593,9,0.1213,7,0.1001,4,0.0576,4,0.0684,5,0.0947,5,0.0909,3,0.0525,1,0.0027,2,0.0424,2,0.0160,3,0.0384,2,0.0366,1,0.0101,6,0.0988,1,0.0101,7,0.0937,7,0.0937,5,0.4808,5,0.4808,5,0.4808,5,0.4808,5,0.0662,5,0.0662,2,0.0424,3,0.0345,13,0.5988,7,0.1152,8,0.1319,10,0.5321,4,0.4388,4,0.4472,1,0.0027,2,0.0424,9,0.4951,4,0.4423,12,0.5494,5,0.4423,1,0.0146,2,0.0173,2,0.0446,1,0.0146,1,0.0159,8,0.1507,10,0.1431,7,0.1006,7,0.1054,5,0.0755,4,0.0601,0,0.0000,3,0.0371,3,0.0509,2,0.0462,3,0.0567,1,0.0301,0,0.0000
030101020901,5,0.1105,9,0.2224,8,0.1881,4,0.0747,3,0.0605,1,0.0427,4,0.0998,3,0.0565,2,0.1216,10,0.5120,16,0.7299,11,0.4856,7,0.2675,0,0.0000,14,0.4492,14,0.4998,5,0.2077,6,0.2802,1,0.0433,9,0.5495,3,0.1148,11,0.4312,11,0.2841,14,0.5988,12,0.5630,8,0.2033,9,0.5464,8,0.4289,4,0.1595,7,0.2786,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0910,1,0.0910,1,0.0910,1,0.0910,1,0.0910,1,0.0910,3,0.0921,3,0.0921,2,0.0138,4,0.2475,10,0.5082,6,0.2354,10,0.5290,10,0.4018,8,0.3461,5,0.2273,4,0.1881,5,0.2809,5,0.2588,3,0.1500,1,0.0081,2,0.1216,3,0.1104,4,0.1713,2,0.1068,1,0.0284,7,0.3645,1,0.0284,8,0.2575,8,0.2575,5,1.2284,5,1.2284,5,1.2284,5,1.2284,5,0.1781,5,0.1781,2,0.1216,3,0.1570,13,1.6289,7,0.3227,10,0.3763,12,1.3772,5,1.1065,4,1.1335,1,0.0081,2,0.1216,9,1.3784,4,1.1231,13,1.5470,5,1.1677,1,0.0427,2,0.0508,2,0.1378,1,0.0427,1,0.0433,8,0.4286,11,0.3936,8,0.2799,8,0.2967,5,0.2077,4,0.1685,0,0.0000,4,0.1021,4,0.1582,2,0.1370,3,0.1695,1,0.0951,0,0.0000
030101020902,5,0.2495,9,0.5760,8,0.4350,4,0.1727,3,0.1503,1,0.0938,5,0.6861,3,0.1275,2,0.2431,10,1.0860,15,1.5985,12,1.0748,7,0.6237,0,0.0000,13,1.1543,13,1.2178,5,0.5176,6,0.6435,1,0.0973,10,1.1134,3,0.2471,10,0.9775,11,0.7340,16,1.3562,14,1.2479,8,0.5416,11,1.1656,10,0.8859,4,0.3574,7,0.5749,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1896,1,0.1896,1,0.1896,1,0.1896,1,0.1896,1,0.1896,3,0.1795,3,0.1795,2,0.0337,4,0.5075,10,1.0161,6,0.5435,10,1.1130,10,0.9722,8,0.8039,5,0.5285,4,0.4320,5,0.5121,5,0.5213,4,0.3090,1,0.0259,2,0.2431,3,0.2457,4,0.3722,2,0.2117,1,0.0658,8,0.7509,1,0.0658,8,0.5544,8,0.5544,5,2.7158,5,2.7158,5,2.7158,5,2.7158,5,0.3706,5,0.3706,2,0.2431,3,0.3451,13,3.5815,7,0.6874,9,0.8903,11,3.1619,5,2.5503,4,2.5386,1,0.0259,2,0.2431,9,3.0552,4,2.4982,14,3.4324,5,2.6086,1,0.0938,2,0.1197,2,0.2574,1,0.0938,1,0.0973,8,0.8886,10,0.9130,7,0.7125,7,0.7230,5,0.5176,4,0.3752,0,0.0000,3,0.2275,5,0.3196,2,0.2702,4,0.3459,1,0.1636,0,0.0000
030101021001,5,0.1442,8,0.3356,8,0.2728,4,0.1396,3,0.0871,1,0.0331,5,0.2387,3,0.0803,2,0.1001,10,0.4706,16,0.6808,11,0.4322,7,0.3514,0,0.0000,14,0.6575,14,0.6656,5,0.2618,6,0.2821,1,0.0442,9,0.3922,2,0.0820,12,0.4976,11,0.5047,14,0.5170,12,0.4654,8,0.4057,9,0.3951,8,0.3004,4,0.1553,7,0.2156,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0660,1,0.0660,1,0.0660,1,0.0660,1,0.0660,1,0.0660,3,0.1030,3,0.1030,2,0.0472,4,0.1931,10,0.4652,6,0.2312,10,0.4491,10,0.4973,8,0.4028,5,0.2611,4,0.2074,5,0.2355,5,0.1924,3,0.1127,1,0.0039,2,0.1001,3,0.1813,4,0.2191,2,0.0684,1,0.0126,6,0.2597,1,0.0126,8,0.2716,8,0.2716,5,0.9908,5,0.9908,5,0.9908,5,0.9908,5,0.1804,5,0.1804,2,0.1001,3,0.1610,13,1.3535,7,0.3044,10,0.4760,12,1.3153,5,0.9894,4,0.9525,1,0.0039,2,0.1001,9,1.1374,4,0.9042,12,1.2703,6,0.9775,1,0.0331,2,0.0370,2,0.0693,1,0.0331,1,0.0442,8,0.3863,11,0.4581,8,0.3725,8,0.3866,5,0.2618,4,0.1648,0,0.0000,4,0.1383,3,0.0987,2,0.0898,3,0.1172,1,0.0362,0,0.0000
030101021002,5,0.3461,9,0.6910,8,0.6128,4,0.3015,3,0.1994,1,0.0922,5,0.5820,3,0.1989,2,0.2455,10,1.1157,16,1.6472,11,1.0386,7,0.7498,0,0.0000,14,1.3037,14,1.3546,5,0.5371,6,0.6296,1,0.1003,9,1.0126,3,0.2245,12,1.1161,11,0.9960,15,1.2741,13,1.1690,8,0.7720,9,1.0120,8,0.8090,5,0.3582,7,0.5313,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.1843,1,0.1843,1,0.1843,1,0.1843,1,0.1843,1,0.1843,3,0.2519,3,0.2519,2,0.1068,4,0.4833,10,1.1178,6,0.5387,10,1.0597,10,1.0454,8,0.8621,5,0.5668,4,0.4515,5,0.5570,5,0.4877,3,0.2854,1,0.0108,2,0.2455,3,0.3873,4,0.4966,2,0.1851,1,0.0399,7,0.6747,1,0.0399,8,0.6771,8,0.6771,5,2.8139,5,2.8139,5,2.8139,5,2.8139,5,0.4444,5,0.4444,2,0.2455,3,0.3767,13,3.6442,7,0.7182,10,1.0014,12,3.3876,5,2.6856,4,2.6588,1,0.0108,2,0.2455,9,3.1363,4,2.5774,13,3.4572,6,2.7111,1,0.0922,2,0.1030,2,0.2178,1,0.0922,1,0.1003,8,0.9012,11,1.0271,8,0.7632,8,0.8047,5,0.5371,4,0.3776,0,0.0000,4,0.3074,4,0.2853,2,0.2369,3,0.2948,1,0.1257,0,0.0000
